@relation train

@attribute Document string
@attribute class-rohit {one, five}

@data
"bad good unfriendly asian unhappy frozen happy sour",one
"new wicked last expensive tasteless red balsamic watery several stemless other able correct beautiful full amazing",one
"worst interested mediocre dry appetizing other grilled raw less ambitious old adult",one
"prompt great excellent sugary local cozy good",five
"busy willing rude dismissive extra other able social worth",one
"negative terrible complete astonished good drunk angry pleasant super nice different simple overcooked red",one
"horrible older available bad quicker",one
"interesting good packed least last ridiculous eclectic horrible",one
"surprised prompt attentive good reasonable nice clean spotless",five
"good sick",one
"major nice certain adverse pushy big able several astronomical unpleasant few super unprofessional additional competent",one
"facial surprised great wonderful helpful friendly different stray",five
"same different clueless third full poor",one
"worth new",five
"true poor weak",one
"second disappointed nice perfect super hot good attentive excellent full special tart own",five
"rare",five
"open strange asian harder own main old high good great absent abundant indian elegant adventurous acceptable true simple accessible culinary",one
"wireless available",one
"grand excellent serious repetitive good personal awesome fantastic wild",five
"small charming contemporary limited wonderful sweet",five
"great least tacky",five
"raw white different incompetent entire undercooked lukewarm steamtable wrong deaf",one
"terrible least compassionate nervous grumpy apprehensive huge angry",one
"artificial iced free heavenly",five
"worse delicious pre excellent wild baked solid consistent disappointed favorite curious worth",five
"unoriginal interesting cold forgettable great few sick lame lamer other ordinary sudden madder mad unfinished good",one
"incredible several wonderful",five
"specific extra free apt new cold okay spare simple wrong higher other actual mad bad high charming quick dirty less impressed",one
"last new impressed attentive huge negative pleased",five
"horrible unconscious own",one
"",one
"ash crazy loud audible",one
"yummy cheap youngest old mongolian chinese hungry",five
"knowledgeable honest bad",five
"crappy few new extra good",one
"",one
"mexican good fresh awesome quick great amazing",five
"wonderful great fabulous new favorite yummy good complimentary perfect",five
"new crisp friendly busy bad",one
"clean supportive wonderful",five
"green worth middle fabulous",five
"spectacular raw happy",five
"empty visible miserable tough",one
"last red decent large willing nice clean anti bacterial predictable black wrong same fresh warm remarkable bland hungry bad lucky disappointed",one
"specific terrible prepared other dissapointed",one
"less",one
"italian good grilled sorry hot red last least",one
"last dirty clean hot awful",one
"sensitive minor dental vast quick preliminary cheapest local extra loopy third benign malignant unsure other topical open bloody smaller main heavy solid few soft several such oral",five
"chinese skeptical wild hot pure sweet high",five
"great amazing large beautiful true perfect",five
"dismal free facial less sanitary soft cramped minimal clean additional high",one
"huge major whole impressed nice convenient likable knowledgeable reasonable satisfied confident unannounced different likeable new federal extra few ready able happy",five
"extra precautionary thorough other",five
"worst busy random disappointing favorite",one
"",one
"great good own green cute sorry dumb small shifty mad",one
"incoherent chinese decent bad cold nasty bland white soggy hot middle sweet sour extra whole",one
"special other large crunchy tasty greasy delish automatic certain cheap fair",one
"great upset bad uncomfortable willing low slow other midweek sweet disappointing negative due poor sorry",one
"favorite great",five
"impressed dark dirty small overcooked impressive wise cheap many cheaper cleaner frequent",one
"great less massive alternate big last happy 30pm decent good",five
"excellent large extensive grilled rich delicious huge seasoned great red knowledgeable friendly full awesome",five
"super empty good frustrated busy least greek second great bad",one
"poor",one
"slow",one
"elegant excellent new wonderful",five
"last terrible",one
"tangled many few tortured massive clear loyal middle red related entire suspicious last cold businesslike noisy unfortunate dead fluorescent talented proper spotty inconsistent difficult important multiple unstable safe relevant",one
"atrocious unprofessional pathetic medical unsure concerned pharmaceutical young incorrect wretched",one
"nice high freshest huge iced cute unique",five
"terrible miserable bad dangerous diabetic worth",one
"different great pure simple rude ridiculous non negotiable expensive such important",one
"",five
"worst slow smaller",one
"possible able pricey worth paired ample",five
"great several wet dry perfect curly beautiful exceptional natural local altered decent methodical okay good confident small gorgeous vibrant dark brown trim comfortable shiny nice happy clean original new few same different sorry bad free old own poor cute dusty",one
"other nice nerdy wrong few creepy subsequent true different full gradual awesome positive crappy",five
"wonderful worried extreme free awesome great local such friendly italian beautiful delicious",five
"good expensive exciting clean popular nice professional reasonable higher other",five
"warm",one
"great soggy dirty bad",one
"good whole cheap messy",five
"reasonable okay rude previous",one
"less worse dirty slow pathetic",one
"great worst fishy old hungry sick few dry cold",one
"cuter stupendous wet happy stellar creamy yummy raw awesome loyal",five
"absolute good prim perfect great other alive",five
"rude interesting",one
"disastrous nearest sad such huge able random sketchy fair reasonable few open consistent dead other whole serious inept least unsafe private nice safe complete opposite shady",one
"splintered digestive acceptable due fatal",one
"younger stupid beautiful different unique distinctive native favorite many funky great",five
"great different free many special good",five
"entire positive honest big important great",five
"terrible worst huge other large poor appropriate awful good chinese",one
"great decent cheapest bimonthly bad friendly",five
"good least entire elementary",one
"delicious french fresh small good different bad local",five
"horrible frozen nice",one
"awesome amazing huge great delicious big celebrated neat friendly",five
"nicer enthusiastic professional basic ancient easy snotty high other good",five
"great local cheaper new good older small quick",five
"located friendly knowledgeable attentive wonderful local big obvious wide precious good unique timeless assorted phenomenal able minimal nice low",five
"accessible great middle beautiful",five
"nice minor such responsive available",five
"delicious special perk exotic traditional medicinal",five
"disappointed remote tall bald sympathetic uncertain needless social",one
"major few many sassy full big inflated macho smart drunk loud dang highest striking random wild nekkid moral",one
"least favorite",five
"inattentive dry open",one
"surprised lowest unopened sorry frank good",one
"conservative 32nd blue cold new full free uninterrupted romantic intimate dark good favorite certain important",five
"grand entire perfect impressed fabulous 2nd good fresh condensed few 3rd buttery big delicious yummy great",five
"great regular small other appetizing iced odd big open opposite",one
"few blue wonderful impeccable great",five
"poor",one
"great glad",five
"worst non refundable full rude",one
"unprofessional rude friendly busy many hung nasty worst stressed",one
"spectacular",five
"extra bigger filthy dirty nasty full rude available clean other least annoyed great lower",one
"local hot fresh limited worth favorite superb wrong great outdoor baked",five
"complete enjoyable unreasonable other",one
"new ridiculous remote open spare few other high",one
"new initial many available professional comfortable happy nice",five
"good new crispy italian special tasty fresh delicious loud",five
"regular acrylic white horrible friendly",one
"last poor indulgent mexican cheap venetian tacky good few jalapeno warm hot annoyed green authentic small full flavorless bad",one
"fantastic hot fresh special",five
"good other hungry great busy",five
"complete nice okay terrible noticeable cold good worst prime cheap chewy tasteless least hot bad other greasy fresh dry full unapologetic unhappy few tired unimaginative many",one
"special ready last cheap wonderful",five
"fantastic fresh tasty classic perfect jalapeno",five
"fantastic warm welcome happier",five
"great several other impressed new cheaper honest",five
"",five
"favorite worst stale gross weird second nasty fresh strange same many happy least sorry different needless",one
"good snooty remembered last",one
"favorite good small horrible perfect",one
"lucky nastiest",one
"good middle old fresh delicious great third several okay regular",five
"many perfect local different polite helpful uneasy happy other available busy prepared willing ready special old ratty bleached new great entire single huge least higher highest possible odd traditional general prompt worse high reasonable disappointed loyal good",five
"high great",five
"old chinese amazing blue large golden ornate bygone clean charming great attentive last such good hot generous mongolian incredible surprised pleased",five
"bad friendly acrylic good",one
"few last vacant available nice free okay great terrible decent",one
"major minor impressed excellent central extra other helpful old new",five
"broad regular wise few packed",five
"mexican entire",five
"trim",one
"great",five
"automotive able middle southern great knowledgeable helpful honest",five
"",one
"delicious difficult understandable excellent hot available awesome attractive nice remembered big",five
"disappointed empty old tired embarrassed amazing gross wonderful great",one
"last few east free special seasoned green asian appetizing other bad",five
"full annual due terrible rude antibiotic good playful sullen tired 1st sick secondary other irritated loud dissapointed several concerned",one
"amazing friendly great good nice",five
"expensive same new interested friendly",one
"horrible old small bad",one
"busy small fresh nice worth expensive other quick same lazy bland great rude huge occasional",five
"horrible awesome filthy black loud other worst prettier",one
"super cute awesome friendly sad good local small cheap unknown great new picky healthy natural open nice",five
"yummy everyday good favorite greek",five
"absolute favorite great available good stellar quick last sweet amazing different seasoned chewy old overcooked soggy cold warm reasonable many local disappointed frank embarrassed whole least",one
"noble excellent reliable clean intense professional great superior smaller",five
"favorite delicious amazing full happy single less expensive",five
"last great mutal nicest deluxe",five
"clean cleaner poor questionable",one
"fantastic great good",five
"due high overcooked worst thick full",one
"quick healthy delicious clean great cute fresh hot wrong",five
"generic frozen",one
"amazing fresh nice helpful great enjoyable",five
"friendly great worth",five
"many few glad amazing usual new great special dirty",five
"heavenly finest gigantic electronic weary empty last",five
"amazing sad worth free rid recyclable unbeatable small",five
"perfect discernible mexican wonderful vibrant snappy savory",five
"horrible hot cold regular",one
"perfect true interested",five
"friendly good green",five
"outdoor nice quiet small perfect cold worth",five
"good ugly nasty okay dark big disgusted needless horrifying dirty unimpressive",one
"great amazing",five
"worst",one
"great personal favorite impressed cold",five
"white nice funny hung awesome local",five
"authentic italian favorite",five
"naughty tasty favorite bad great soft chewy local worth",five
"frank unfriendly retail mystic streaky dry needless",one
"able realistic clean other worth extra least reasonable",one
"professional willing modern clean small negative",five
"friendly helpful flat easier other",one
"deserving unfortunate limited other worse",one
"unprofessional cheap",one
"surprising amazing baked messy worth crunchy lucky",five
"high delicious equivalent yummy iced fresh organic few scared quick local",five
"corporate few professional unmatched",five
"1st",five
"great good",five
"multiple nice friendly tasty super busy good appropriate sweetest mild mannered japanese casual",five
"excellent deluxe prime fantastic",five
"amazing superb 20oz packed good",five
"great popular able memorable amazing good old delicious excellent happy whole",five
"great few beautiful fair many bad possible",five
"horrible yearly few different 2nd old",one
"low quick simple frozen cheapest good bad super admirable fresh extra",one
"awful iced lemon dark least appetizing bad",one
"many sorry last good old rude open",one
"good several disappointed corporate busy",one
"great awesome hot fresh mexican free",five
"skeptical due low good pure 2oz jumbo blue",five
"overcooked blue bad empty tasty",one
"amazing",one
"many sick dirty least",one
"holy retail warmer helpful willing snobby few final awesome 30pm limited busy unaware large 2pm 20pm full other different great prepared crappy larger",one
"awful",one
"new personable glad",five
"yummiest chinese cultural repeatable good hot perfect general able large special wrong many full open upset delightful sorry disappointed",five
"italian few great high reasonable different",five
"hung special",one
"",five
"amazing good huge great",five
"faulty great sad speedy reputable active temporary old happy",one
"weak hot bland",one
"good small great baked worth regular awesome",five
"good english helpful corporate original",one
"ready worst vast poor horrid old soggy good watery tasteless friendly horrible",one
"last good amazing overcooked dry fishy grilled high attentive main full fresh warm great",five
"extra",five
"few yummy fabulous amazing lovely",five
"recent wrong dirty mexican worse rude due",one
"experienced such utter last collective attentive bad grilled pre prepared obvious single prospective positive basic good",one
"clean limited other worth",one
"good extra healthier",one
"good perfect irritated simplest cold prime lifelong",one
"blue original ashamed malicious bad wrong understandable grilled tiniest pathetic worth embarrassed different",one
"consistent",five
"third excessive convinced true last stellar wonderful attentive helpful friendly great extra full excellent disappointed",five
"several beautiful other delicate gorgeous knowledgeable true",five
"obnoxious inexcusable",one
"great reasonable",five
"cheap surprised few good great worth big present serious socal excellent other tribal disappointed suburban",five
"worst human nice own same",one
"bad helpful ready worse other open",one
"last convinced crispy hooked",five
"",five
"tasty happy cute trendy great good amazing new favorite glad",five
"worst retail electronic rude innocent small bad other oppressive mock easy such awful same horrible",one
"clean talented new great local convenient located",five
"awesome such great okay nice casual 6pm 7pm full many surprised",five
"east snotty freshest decent good japanese favorite baked phenomenal entertaining big black many",five
"last easy complete dental sweet",five
"awesome super cold dark nice helpful able larger corporate",five
"quick great good happy",five
"packed possible special red green mexican outstanding small clean",five
"incredible assorted small tiny big particular able proper original free low constant new same various",five
"located outdoor outstanding impeccable lovely fresh french stray normal consistent sparkling whirlwind warm greatest needless worth",five
"amazing small awesome",five
"rude unknowledgeable nationwide worst other fair",one
"english alma great friendliest confident christian",five
"delicious perfect hot burnt free",five
"special serious flavorless less able sorry",one
"pertinent super blue east mixed corporate least honest angry second irritated outraged noisy concerned happy same sorry civil courteous nice bad obnoxious",one
"great individual clean comfortable knowledgeable wonderful large free happy grand beautiful different ample final quick excellent",five
"fantastic high",five
"perfect",one
"insane",one
"main cold disappointing",one
"intact great many new personal favorite small good few several other recent last",five
"helpful gorgeous perfect amazing other friendly professional straightforward",five
"french rare extra flavorless overcooked cold",one
"bent available friendly great",five
"less other",one
"whole fresh hot small pre conscious delish bottled various new tangy empty few large many delectable popular lively friendly local fabulous free",five
"good reasonable excellent friendly delicious nice prepared warm cozy",five
"",one
"entire illegal retail full nasty rude proper great",one
"particular possible extra 3pm negative competent happy complete",one
"absolute outrageous due nice insane cute",one
"last few other 1st good 2nd nice",one
"young cranky smallest possible cold second tiniest satisfied minimal pregnant open slow sad sorry",one
"amazing beautiful nice awkward bad",five
"loyal great",five
"sassy rude veterinary adequate different",one
"slow prepared dumb dumber such high uncomfortable endless available experienced 2nd small full less same numerous intimate bottled necessary",one
"few awesome",one
"many pre fresh good",one
"acrylic other busy terrible",one
"other different",one
"occasional amazing good",five
"last different dry full complete middle great nice grand clean large able comfortable functional white own various main lazy adult open other friendlier convinced interested fabulous",five
"quick fresh green unpleasant frozen overhyped",one
"own particular",one
"great new",five
"initial able second previous basic dirty",one
"excellent amazing filthy",five
"non great good overcooked cold bad drunk",one
"good",one
"whole decent homely authentic italian asian cheap tasty friendly quick",five
"few italian good authentic",five
"rude weird such negative",one
"great several other different free gorgeous",five
"edible horrible",one
"mexican good bland",five
"such hula classic 3rd super nice friendly huge",five
"located 20th excellent wonderful charming nice interesting wide open romantic awkward perfect fresh superb grilled greek french flavorful dramatic quaint worth",five
"delicious lovely fresh friendly",five
"small whole great good several extra expensive other cheaper",five
"depressed rude empty lame",one
"dirty old dead odd cheap",one
"many disappointing sad",one
"new super cute tiny nice awesome unique friendly local huge crunchy crispy soft creamy",five
"last great fair good nice usual favorite different general weird few other soppy greasy hungry acceptable previous poor new old weak insulting temporary subpar",one
"special fresh tasty hot amazing reasonable great few",five
"packed comforting hot incredible green single",five
"overbooked unprofessional rude available empty separate green black",one
"great italian outstanding other amazing",five
"good proper same young sorry scared extra",one
"clean friendly helpful big old mexican",five
"",one
"free cold fresh baked clean many other",five
"several great tasty non good perfect comfortable free wireless usual positive",five
"",five
"small unappealing many friendly managerial special lame local",one
"open",one
"same terrible new few unwrapped cold frozen lukewarm afraid open hot",one
"snotty uneducated rudest helpful smart old few open",one
"initial casual aware specific entire sweet own poor original generous many same large prepared funny disastrous pleased least 6pm unexpected salvageable bottled professional sorry",one
"new wise",five
"great many full professional amazing wonderful",five
"delicious entire 7pm good odd",one
"mexican high consistant cheap",five
"uninterested rude upset entire other sweet pleasurable blonde miserable unhappy",one
"comfortable last great crispy chinese other same remembered",five
"whole funny open able pricey worth other",five
"bad favorite warm scottish red particular bitter sweet hoppy flat tasteless nice sorry good basic",one
"good grilled special fantastic other mediterranean prepared seasoned whole delicious great",five
"last bland same full",one
"worst possible great rude busy new expensive insulting other few illegal horrendous main horrible",one
"worst bad",one
"awful rude horrible",one
"quick hot italian dry old",one
"bad new naive other few generic virgin worthy good intact",one
"whole friendly efficient empathetic",five
"frustrated medical open good",one
"good old huge great rude horrible cheesy dirty dry stale mushy gross",one
"easy great fabulous hot sour",five
"worst normal cute full big thin whole shiny clean other nice good open",one
"great",five
"great middle upper quick good complimentary separate decent small free easy steady green few less highest second other greater cheaper",five
"yellow nice friendly few pricier other worth",five
"possible many last lucky same decent",one
"last strange other entire own great affordable mobile veterinary",five
"good chinese easy ready nice fresh gross open slimy weird thick cheap full",one
"awesome great present",five
"second nice small other friendly new",five
"unbiased new decent large available recent black busy flashy few androgynous small friendly wide gay nasty lesbian great",five
"last beautiful gorgeous glorious",five
"happier older other friendly chatty",five
"mediocre happy",one
"voluminous other favorite bad busy good decent huge happy last least nice",five
"expensive worth high many good old dry few fresher superior fresh authentic great nice",one
"great low friendly",five
"rude such federal lousy horrible",one
"last poor good bad",one
"predictable affordable sharp",five
"high comfortable simultaneous fantastic less dry blue new remembered due lean curved entire other wonderful big personable conversational fluent english whole uneven many tropical asian wooden japanese sleepy warm fuzzy present third slow clean disgraceful",one
"mexican several tiny great inexpensive excellent friendly",five
"open potent bright green other clean",one
"awful good",one
"unprofessional unreliable",one
"fresh flavorful willing friendly main cold delicious old",five
"great excellent wonderful",five
"particular various worth overwhelming acrylic perfect other great previous reasonable easy extra located finest full",five
"great",five
"yummy",five
"lame local unfriendly uninspired bad nice good authentic 2nd",one
"large annual private festive helpful knowledgeable attentive delicious great reasonable",five
"large empty western youngest least good packed natural organic essential cheaper",five
"several initial same busy hot great bad final such poor decent worth",one
"favorite magnificent french southwestern great",five
"greatest newborn extra many thoughtful considerate certain medical worse primary",five
"good fresh delicious favorite old crispy soft tasty robust flavorful friendly efficient less",five
"exceptional upset great",five
"unhappy remote second local senior able several additional main new fair exorbitant individual safe old inactive free available corporate bigger initial same",one
"available tasty generous able excellent crispy",five
"horrible special bad",one
"high satisfied",one
"worth various ancient modern",five
"nice quick inexpensive small",five
"fresh healthy tasty good",five
"helpful knowledgeable good related super sweet own great competitive big healthier large",five
"sober kindest",five
"black organic",one
"last",five
"rude poor gross separate nice unexpected other fantastic unacceptable horrible",one
"complete italian generous hot flavorful many false skeptical other comfortable relieved familiar favorite disappointed classic huge pleasant tangy extra last perfect fantastic healthy chewy wonderful hearty happy nice formal slow appropriate small honest easy outrageous heavy final complimentary finest entire heated",five
"sad young lower slow expensive",one
"extra nice",five
"sexy blue green available free last new hot universal",five
"classy tacky casual convenient friendly comfortable familiar other great super popular open big",five
"fabulous huge",five
"clean",five
"amazing happy awesome",five
"red modern amazing danish lovely high worth fantastic",five
"italian good due bad stale mixed several previous special unlimited whopping green other big fresh few needless high terrible friendly attentive clean",one
"same bigger high excellent regular own last red holy hungover simple 30pm whole marked prepackaged other organic carcinogenic nice wrong green separate basic positive bitter old eastern metallic helpful 1st middle aged second traditional 3rd great good asian",one
"due",one
"sweet perfect favorite italian timely friendly cute new",five
"bad pricey",one
"dilapidated elliptical due corporate adequate functional",one
"friendly mediocre",one
"pleasant trendy nice outdoor heated chillier good literate other non",five
"full crazy expensive hung good other worth",one
"dental higher skewed many additional unnecessary nice professional high",one
"",one
"few consistent smaller",one
"honest friendly great",five
"second amazing great",five
"holy",one
"good reprehensible dry cleaner new favorite other pointed clean nice honest remarkable particular big current aforementioned worst bad small limited inflexible uncooperative rude insulting worse able terrible",one
"oriental experienced asian fresh interesting exciting extensive",five
"disappointed larger worthy extra unique large gentle favorite",five
"special other okay red iced",one
"healthy quick similar large other nutritional slimmer non tasty enjoyable affordable such high conscious extensive unfulfilled reasonable",five
"busy helpful third clean decent free lucky different naked happy dry middle 2am picky",one
"unobtrusive modern central stunning industrial rustic trendy classy big large coherent same whole last gorgeous reasonable nice",five
"great delicous",five
"sorry many great due sweet cheap scuzzy random awesome dark incredible intimate special",five
"free terminal big comfy frosty wireless",five
"worst big usual routine chinese busy least same many green other such less initial strangest cold lukewarm impossible lucky old entire blank exact single last",one
"second wonderful busy quiet common low",five
"extreme nervous comfortable financial willing least outstanding great",five
"good hot satisfied sufficient bare",five
"strong dirty british cute angry such few",one
"great super friendly delicious huge",five
"disappointed last naked hot other dumb greasy good traditional",one
"great awesome",five
"good several",one
"bad busy doughy expensive",one
"last several small helpful rude many same exact bummed such convenient discourteous impolite",one
"perfect nice",five
"good dry cleaner",five
"old expensive previous good bumpy flat surprised decent less spare such huge mere nearest low harsh terrible same other",five
"great particular full ignorant nice empty",one
"located few complete due old terminal crappy nicer",one
"black few second unwearable old lazy crazy horrible",one
"fresh least good trendy chinese general asian definite white genuine southern decent",one
"easy nice friendly delicious clean spacious",five
"slippery favorite new nasty particular several located super convenient alternate delicious fairer willing helpful friendly cheapest concerned",five
"worst friendly high bad lovely super old loud possible yellow ready sweaty professional correct pointed drunk same busy random faux cute",one
"negative iced crabby yummy such unique flavorful friendly excellent incredible",five
"fresh friendly clean weightless big delicious",five
"awesome professional courteous due mid old happy other same cellular",five
"such quick healthy thicker larger equal delicious original huge fantastic",five
"great mid least ready undivided different many able perfect other outstanding big available certain smaller willing special important",five
"shitty white special worth false less welcome",one
"delicious other mexican amazing fresh",five
"acceptable fair new upper lower ashamed",one
"delicious least great",five
"pathetic favorite great big happy fair prime baked single seasoned weak worst decent frozen dumb limp bland extra special wrong spectacular new",one
"other dark terrible cheap uncomfortable worst free open clean good cruel okay tiny large",one
"horrible several other",one
"bad bland",one
"young last unacceptable",one
"worst sweeter doughy crispy actual dry bent bland good bad new wrong",one
"easy marked bad terminal",five
"disappointed 23rd dirty unorganized horrible disappointing grand hungry",one
"wild excellent large prompt courteous bad dissatisfied appropriate professional abbreviated regular glad last perfect open unwanted aware satisfied few low environmental different unprofessional poor surprised",one
"several great teenage natural organic wholesome entertaining least",five
"same rude other",one
"new old smaller happy mexican such amazing seasoned good great glad",five
"easiest good new lower financial great brown",five
"last able perfect special great fresh many scrumptious other happy extensive old lush modern comfy",five
"great good chinese last final",one
"old great few direct amazing special",five
"mediocre acceptable same deplorable polite poor brown enjoyable",one
"main least crunchy friendlier worth",one
"big tasty black",five
"excellent impressed tasty prepared particular soft crazy white iced green superb outdoor good friendly",five
"awesome hot",five
"wrong horrible rude mediocre bad",one
"cheaper same exact regular",five
"greek great old willing",five
"fabulous italian impeccable professional available excellent pricey worth great special old uptown quaint convenient willing small",five
"horrible quick convenient awful dirty",one
"busy secure direct nonsmoking good open purple sloppy drunk moldy major small ridiculous cheap bad dry crappy stinky huge obvious",one
"horrible pathetic rude obnoxious great such bad",one
"awful big busy okay terrible good entire loud horrid inappropriate fair second",one
"quick good sticky english obvious cold environmental friendly least cheaper",one
"large last fresh delicious clean beautiful easy full amazing",five
"authentic mexican extra mad hungry",one
"strong new expensive happier",one
"disappointed cheap automatic shady",one
"chinese local authentic southern same bitter preserved 1st green cheezy sleazy easy",five
"horrible extra same worst bad current",one
"okay horrible rude cynical less multiple packed good proper",one
"worst mid small terrible acoustic horrible slower indiscernible bearable unforgivable complete many worse wild former",one
"worst appalling least",one
"higher due cold many weird disgusted true open pregame",five
"old middle other new unbelievable rude",one
"fantastic awesome exciting perfect unique quick courteous super nice",five
"30pm bottled alcoholic rough",one
"prepared same local able horrible other single safe shady smart",one
"terminal honest",five
"dry cleaner flat last tough cheap sorry new pricey phenomenal big",one
"wrong shocking worse cleaner nicer dirty passable other",one
"adorable delicious great lovely sole tasty",five
"located other open 5am",one
"terrible good",one
"several culinary decadent appalling open good complete few rude bad tickled delicious other older spikey ready old unnecessary needless same cold annoyed large true",one
"usual full wonderful classical faddish lovely great calming essential classic helpful superficial deeper traditional personal reasonable unlimited friendly",five
"awful bland inedible good",one
"cute friendly great",five
"bad blue younger impressionable other usual cheap high same harsh wrong naked good creative nice",one
"great favorite full available worth",five
"delicious definite genuine italian magnificent",five
"christian several welcome huge good such impossible new",one
"nice high delicious balsamic sorry super friendly great free",five
"great exceptional clean fresh glad other",five
"terrible dirtiest lousy",one
"open welcome spiritual happy",five
"wonderful great non",five
"few last worst happy dead iced cold heated appetizing hungry free great poor certain",one
"last few full additional",one
"pre nervous unseen disappointed ready impressed professional easier satisfied",five
"southern steep great second different wrong good",five
"true difficult hot green soft authentic yummy good inclined",five
"full fantastic free basic disappointed poisonous good honest certain local sneaky annual many numerous fungal poor convinced same other",one
"hot fresh greasy heavy excellent",five
"different middle less",one
"huge big super nice single delish disappointed incredible amazing crusty outstanding phenomenal hearty consistent good casual friendly italian",five
"red",five
"amazing other funny good",five
"great regular easy last same",five
"sweaty angry",one
"great excellent friendly glad",five
"sweaty full old other unidentified bodily fluorescent able naked few collective",one
"compassionate eager humble smart amazing good multiple less expensive private",five
"rough nice cheap modest delicious",five
"great super nice fresh delicious yummy healthy",five
"new favorite",five
"fantastic tasty handy fresh tidy",five
"good other ready fourth able",one
"dental unconditional",five
"friendly delicious classic dark crusty thin due tough worst flavorful worth crunchy other new necessary usual undercooked perfect thick red bloody happy okay picky nice less fantastic",five
"awful new brown",one
"old uneatable white raw horrible",one
"painful worse misdiagnosed expensive unnecessary new personal rude",one
"chained",one
"surprised bad great many unique appropriate satisfied stylish typical sorry",five
"great few glad good",five
"",five
"amazing wonderful",five
"great authentic nice wrong",five
"horrible poor least good worst wrong",one
"new located 90th other warm friendly gentle knowledgeable willing",five
"few black last",one
"last",one
"great friendly professional foreign own",five
"various good nostalgic nice other sorry",one
"packed senior dirty busy horrible gross sorry",one
"whole old pleasurable disappointing great free less professional stunned many last happy interested",one
"ridiculous rude great big wrong",one
"absolute worst numerous automotive wrong clean few due previous deteriorated sketchy free weird complete low second sorry worth new other small upset middle nice least grand corrupt worse",one
"horrible 14th different other able exact 6am hot warm hung fifth several astronomical needless unhappy",one
"worst numerous orchid",one
"big sharp rude mediocre disappointed nicer bad impressed fantastic",one
"few occasional different pregnant antsy old bad good less wrong honest",one
"",five
"incredible new",five
"great awesome big good worst old middle dry tough wet sick unclean dirty many",one
"many bad black disappointed perfect great sticky funny same crazy nice",five
"holy awesome convenient special whole warm ready delicious amazing",five
"nice crusty corporate digestive",one
"same",one
"few loud whole miserable amazing disappointed",five
"good closest higher other large small mixed great soft perfect exciting crazy pleasant fresh special happy cheap bad 7pm",five
"nicest able sick adverse severe great confident",five
"nice",one
"good carefree last few horrific other iced tiny soggy rotten brown annoyed",one
"bad last",one
"happy happiest small good",five
"authentic italian disappointing few mediterranean frozen unpleasant helpful friendly english",one
"particular small big full slow busy similar different",one
"great delicious mexican good worth awesome huge indoor outdoor favorite beautiful happy perfect friendly nice negative positive",five
"disappointed chronic able several dismayed frustrated",one
"good unseen",one
"wonderful supportive efficient ready calming difficult easier whole such personable",five
"many outdoor true spectacular whole new perfect extra large bridal yummy big indoor delicious full closest attentive",five
"wonderful different worth beautiful huge attentive",five
"peppy friendly good italian casual awesome soft delicious east",five
"coolest",five
"regular nastiest super tiny filthy old cheap worth same nice",one
"bridal great amazing other nice helpful beautiful simple black thick fitting glad thinner perfect able final horrible rude flat mad crazy few same new own ready",one
"open ridiculous",one
"moderate located hungry bad reddish",one
"satisfied happy big enjoyable nautical wrong",five
"excellent vast gorgeous elegant good many great awesome incredible located full fairmont open favorite",five
"available last different same brown",one
"recent softer normal great huge shady pleasant indoor outdoor frequent reasonable healthy easy friendly knowledgeable main pointed ambitious",five
"good great",five
"cute great mannered nice several",five
"great starter limp tasteless dry worst inflated worth",one
"mandatory least other horrible complete nice respectful",one
"equivalent old many good great worth",one
"nice big old new special friendly good honest least second",one
"friendly knowledgeable quick middle",five
"fantastic happy amazing wrong",five
"favorite separate bad special wild rare baconless pointed prepared few excellent whole enjoyable disappointing sad",one
"spectacular exceptional friendly old tired adorable cozy quaint great",five
"terrible such poor english unfixable white blue simple 39th",one
"simple inspiring higher busy quick good expensive shocking",one
"happy favorite last less impressive wonderful usual grilled happier",five
"french pleasant amazing several",five
"favorite nice quick",five
"disgusted other upset postal difficult arrogant unprofessional sad",one
"sublime charming attentive knowledgeable memorable",five
"disappointed similar heated other worth",one
"wonderful everyday",five
"negative good worst pleasant initial wrong big blended due horrible cordial obvious worse",one
"happy",five
"awesome amazing friendly worth beautiful apparent holy cooltastic great",five
"rancid hideous clean english rude worst",one
"utilitarian clean satisfied national safe such urban old fresh spacious least thin whole unsavory feral awful",one
"corporate own old",one
"excellent hot hotter delish great few",five
"super friendly worth huge tasty reasonable",five
"same full terrible",one
"worst non existent new many interested",one
"fantastic other pointed clean casual horrible poor mad second",one
"convinced wrong small worth sweet iced super heavy whole bright nice ready vain great greasy soupy good hot mere meatless sour extra crisp big quick friendly cold",five
"slow southern",one
"highest worst nastiest true",one
"fresh healthy great inferior local exceptional terrific",five
"nice horrible different proper amazing",one
"awesome less authentic least",five
"great quick",five
"small helpful clean great",five
"chinese favorite wrong beautiful",five
"horrible worst sick same scratchy predominant prolonged cheap raw such acrylic acceptable young toxic bad green organic",one
"small excellent quick older great many",five
"drunk happy inedible comfortable",one
"second fantastic great ready quick canadian green happy pre lazy",one
"lesser high low crazy nice",five
"awesome different large solid great happy cheap",five
"awesome local",five
"stupid horrendous good slow chinese upfront open full",one
"great noisy quieter good hot",five
"located nicest shady secretive different vibrant vivacious complimentary fresh delectable ridiculous good simple typical amazing mexican infested warm friendly unexpected awesome",five
"obnoxious many other stellar",one
"low major cleaner cold specific bad green",one
"complete frustrated",one
"quick located super nice safe great",five
